GAME_ID,TEAM_1,TEAM_2,TEAM_1_STRATEGY,TEAM_2_STRATEGY,TEAM_1_PTS,TEAM_2_PTS,WINNER
22300743,WAS,BOS,3,3,129,133,BOS
22300744,TOR,HOU,1,2,107,104,TOR
22300746,DEN,SAC,3,3,106,135,SAC
22300747,LAL,NOP,3,1,139,122,LAL
22300748,DAL,OKC,3,3,146,111,DAL
22300749,LAC,DET,2,4,112,106,LAC
22300752,CHI,ORL,2,2,108,114,ORL
22300753,WAS,PHI,4,1,113,119,PHI
22300754,ATL,HOU,3,3,122,113,ATL
22300755,IND,NYK,4,1,125,111,IND
22300756,CLE,TOR,0,4,119,95,CLE
22300758,POR,NOP,1,4,84,93,NOP
22300759,MIA,BOS,2,0,106,110,BOS
22300760,SAC,OKC,0,4,113,127,OKC
22300762,CLE,PHI,4,1,121,123,PHI
22300763,ATL,CHI,0,1,126,136,CHI
22300764,SAS,TOR,4,3,122,99,SAS
22300765,HOU,NYK,1,2,105,103,HOU
22300766,NOP,MEM,2,0,96,87,NOP
22300767,MIL,DEN,4,0,112,95,MIL
22300768,DAL,WAS,3,3,112,104,DAL
22300769,GSW,UTA,3,3,129,107,GSW
22300770,LAC,MIN,1,4,100,121,MIN
22300772,ORL,OKC,4,1,113,127,OKC
22300773,MIL,MIA,0,0,97,123,MIA
22300775,POR,MIN,4,2,109,121,MIN
22300776,DET,LAL,4,3,111,125,LAL
22300778,NYK,ORL,1,2,100,118,ORL
22300779,PHI,MIA,4,4,104,109,MIA
22300781,CHI,CLE,2,0,105,108,CLE
22300782,TOR,IND,3,3,125,127,IND
22300783,MEM,HOU,2,1,121,113,MEM
22300784,WAS,NOP,0,4,126,133,NOP
22300785,SAS,DAL,4,4,93,116,DAL
22300786,SAC,DEN,1,4,102,98,SAC
22300788,UTA,LAL,3,4,122,138,LAL
22300789,GSW,LAC,0,3,125,130,LAC
22300790,MEM,MIL,4,2,113,110,MEM
22300791,MIN,POR,1,1,128,91,MIN
22300792,CLE,ORL,4,1,109,116,ORL
22300793,DET,IND,3,4,115,129,IND
22300794,PHI,NYK,4,2,96,110,NYK
22300797,CHI,BOS,4,2,112,129,BOS
22300798,NOP,HOU,3,0,127,105,NOP
22300799,OKC,LAC,1,4,129,107,OKC
22300800,WAS,DEN,3,4,110,130,DEN
22300802,GSW,LAL,3,4,128,110,GSW
22300803,SAS,SAC,4,1,122,127,SAC
22300804,TOR,ATL,4,3,123,121,TOR
22300805,CLE,PHI,4,1,97,104,PHI
22300807,MEM,LAC,4,2,95,101,LAC
22300808,MIL,MIN,2,1,112,107,MIL
22300809,OKC,WAS,3,3,147,106,OKC
22300810,NOP,MIA,1,1,95,106,MIA
22300812,POR,DEN,1,4,112,127,DEN
22300813,LAL,SAS,1,4,123,118,LAL
22300814,ORL,DET,1,4,112,109,ORL
22300816,NYK,BOS,2,2,102,116,BOS
22300817,PHI,MIL,0,0,98,119,MIL
22300819,DAL,IND,1,4,111,133,IND
22300820,CLE,WAS,4,0,114,105,CLE
22300821,ATL,ORL,4,0,109,92,ATL
22300822,OKC,HOU,4,3,123,110,OKC
22300823,CHI,NOP,0,0,114,106,CHI
22300824,DEN,GSW,4,0,119,103,DEN
22300825,UTA,SAS,3,4,128,109,UTA
22300827,LAC,SAC,1,2,107,123,SAC
22300828,DET,NYK,2,0,111,113,NYK
22300829,IND,TOR,3,4,122,130,TOR
22300831,MIA,SAC,1,4,121,110,MIA
22300832,CLE,DAL,0,1,121,119,CLE
22300834,WAS,GSW,4,0,112,123,GSW
22300835,UTA,ATL,3,1,97,124,ATL
22300836,PHI,BOS,2,1,99,117,BOS
22300837,NYK,NOP,0,2,92,115,NOP
22300838,SAS,MIN,0,4,105,114,MIN
22300839,DET,CHI,2,1,105,95,DET
22300841,OKC,HOU,1,3,112,95,OKC
22300842,MIA,POR,4,4,106,96,MIA
22300843,NOP,IND,1,4,114,123,IND
22300844,TOR,DAL,3,3,125,136,DAL
22300845,MEM,MIN,2,0,101,110,MIN
22300846,CHI,CLE,3,3,132,123,CHI
22300847,DEN,SAC,4,4,117,96,DEN
22300848,LAC,LAL,0,2,112,116,LAL
22300850,ORL,UTA,2,2,115,107,ORL
22300852,GSW,NYK,0,2,110,99,GSW
22300853,SAS,OKC,0,1,132,118,SAS
22300855,MIA,DEN,1,2,97,103,DEN
22300856,WAS,LAL,3,3,131,134,LAL
22300857,CLE,DET,2,4,110,100,CLE
22300859,BOS,DAL,0,1,138,110,BOS
22300860,GSW,TOR,3,0,120,105,GSW
22300861,MEM,POR,1,4,92,122,POR
22300862,MIN,SAC,4,1,120,124,SAC
22300863,IND,NOP,4,1,102,129,NOP
22300864,MIL,CHI,2,4,113,97,MIL
22300865,LAC,WAS,1,4,140,115,LAC
22300867,UTA,MIA,2,4,120,126,MIA
22300868,MEM,POR,3,3,100,107,POR
22300869,DEN,LAL,4,4,124,114,DEN
22300871,PHI,DAL,2,2,120,116,PHI
22300872,BOS,GSW,0,0,140,88,BOS
22300873,LAC,MIN,2,0,89,88,LAC
22300874,DET,ORL,0,1,91,113,ORL
22300876,CLE,NYK,0,0,98,107,NYK
22300877,IND,SAS,1,4,105,117,SAS
22300880,LAC,MIL,0,2,106,113,MIL
22300881,POR,MIN,0,4,114,119,MIN
22300882,WAS,UTA,3,3,115,127,UTA
22300883,SAC,CHI,4,4,109,113,CHI
22300884,OKC,LAL,2,0,104,116,LAL
22300886,CLE,BOS,0,2,105,104,CLE
22300888,MIA,DET,1,0,118,110,MIA
22300889,NYK,ATL,0,1,100,116,ATL
22300890,TOR,NOP,2,0,98,139,NOP
22300891,SAS,HOU,2,1,101,114,HOU
22300892,IND,DAL,0,2,137,120,IND
22300894,ORL,WAS,1,2,119,109,ORL
22300895,ATL,CLE,4,0,112,101,ATL
22300896,MEM,PHI,2,3,115,109,MEM
22300897,LAC,HOU,1,4,122,116,LAC
22300898,CHI,UTA,0,0,119,117,CHI
22300899,GSW,MIL,0,3,125,90,GSW
22300900,OKC,POR,1,2,128,120,OKC
22300901,SAC,LAL,4,2,130,120,SAC
22300903,IND,MIN,1,1,111,113,MIN
22300904,MIA,DAL,0,0,108,114,DAL
22300906,DEN,BOS,1,2,115,109,DEN
22300907,GSW,CHI,3,3,122,125,CHI
22300908,SAS,SAC,4,3,129,131,SAC
22300909,NOP,PHI,2,2,103,95,NOP
22300911,MIN,CLE,3,3,104,113,CLE
22300912,ORL,NYK,1,2,74,98,NYK
22300913,MEM,ATL,2,2,92,99,ATL
22300914,OKC,MIA,0,4,107,100,OKC
22300915,LAL,MIL,1,2,123,122,LAL
22300916,POR,HOU,2,4,107,123,HOU
22300917,CHI,LAC,4,0,102,112,LAC
22300919,DAL,DET,3,3,142,124,DAL
22300921,GSW,SAS,1,4,113,126,SAS
22300922,UTA,DEN,1,4,121,142,DEN
22300923,TOR,POR,3,3,118,128,POR
22300924,LAC,MIL,0,2,117,124,MIL
22300925,NOP,ATL,4,0,116,103,NOP
22300926,WAS,MIA,0,1,110,108,WAS
22300927,PHI,NYK,4,0,79,73,PHI
22300928,ORL,IND,2,1,97,111,IND
22300929,SAC,HOU,4,1,104,112,HOU
22300931,MEM,OKC,2,0,93,124,OKC
22300932,LAL,MIN,4,0,120,109,LAL
22300935,DAL,CHI,0,2,127,92,DAL
22300936,GSW,SAS,4,4,112,102,GSW
22300937,TOR,DEN,4,4,119,125,DEN
22300938,BOS,POR,4,1,121,99,BOS
22300939,NYK,PHI,0,2,106,79,NYK
22300940,MEM,WAS,4,0,109,97,MEM
22300941,IND,OKC,4,3,121,111,IND
22300942,SAS,HOU,0,2,101,103,HOU
22300943,BOS,UTA,2,2,123,107,BOS
22300944,LAC,MIN,2,2,100,118,MIN
22300945,MIL,SAC,0,0,94,129,SAC
22300946,TOR,DET,4,3,104,113,DET
22300948,CHI,IND,1,3,132,129,CHI
22300949,MIA,DEN,1,2,88,100,DEN
22300951,CLE,NOP,0,1,116,95,CLE
22300952,DAL,GSW,4,1,109,99,DAL
22300953,ATL,POR,2,1,102,106,POR
22300954,LAL,SAC,2,0,107,120,SAC
22300956,LAC,CHI,0,4,126,111,LAC
22300957,HOU,WAS,1,3,135,119,HOU
22300958,PHI,MIL,2,0,105,114,MIL
22300959,OKC,DAL,2,1,126,119,OKC
22300960,NYK,POR,1,2,105,93,NYK
22300962,MIA,DET,1,0,108,95,MIA
22300963,ORL,TOR,2,2,113,103,ORL
22300964,NOP,LAC,4,2,112,104,NOP
22300965,SAS,DEN,1,4,106,117,DEN
22300966,ATL,UTA,0,2,122,124,UTA
22300967,HOU,CLE,0,2,117,103,HOU
22300970,POR,NOP,2,4,107,126,NOP
22300971,CHI,WAS,4,4,127,98,CHI
22300972,MEM,OKC,0,2,112,118,OKC
22300973,GSW,LAL,4,4,128,121,GSW
22300974,UTA,MIN,1,0,100,119,MIN
22300975,NYK,SAC,2,0,98,91,NYK
22300977,MIA,DET,2,2,104,101,MIA
22300978,DAL,DEN,1,4,107,105,DAL
22300979,TOR,ORL,4,2,96,111,ORL
22300980,BOS,WAS,0,4,130,104,BOS
22300982,ATL,LAC,4,2,110,93,ATL
22300983,IND,CLE,0,4,103,108,CLE
22300984,DET,BOS,1,0,94,119,BOS
22300985,MIA,PHI,4,2,91,98,PHI
22300986,CHI,POR,4,1,110,107,CHI
22300987,MIN,UTA,2,4,114,104,MIN
22300988,GSW,NYK,4,2,112,119,NYK
22300989,SAC,MEM,3,3,121,111,SAC
22300990,LAL,ATL,4,0,136,105,LAL
22300992,HOU,WAS,2,2,137,114,HOU
22300994,DAL,SAS,4,0,113,107,DAL
22300995,MIN,DEN,2,1,112,115,DEN
22300996,CLE,MIA,0,2,104,107,MIA
22300997,DET,IND,1,4,103,122,IND
22300998,BOS,MIL,2,2,122,119,BOS
22300999,SAC,TOR,0,4,123,89,SAC
22301000,UTA,OKC,2,4,107,119,OKC
22301001,MEM,GSW,0,4,116,137,GSW
22301003,LAC,POR,4,2,116,103,LAC
22301004,ORL,NOP,0,1,121,106,ORL
22301005,WAS,SAC,1,2,109,102,WAS
22301006,CHI,HOU,1,2,117,127,HOU
22301008,DAL,UTA,4,4,113,97,DAL
22301009,DEN,NYK,4,4,113,100,DEN
22301011,DET,BOS,4,0,102,129,BOS
22301012,OKC,TOR,1,4,123,103,OKC
22301013,MIA,NOP,0,2,88,111,NOP
22301014,MIN,CLE,4,4,104,91,MIN
22301015,MEM,SAS,2,3,99,97,MEM
22301016,IND,GSW,4,2,123,111,IND
22301017,POR,LAC,4,2,117,125,LAC
22301018,PHI,LAL,1,2,94,101,LAL
22301020,SAC,ORL,0,4,109,107,SAC
22301022,WAS,TOR,4,4,112,109,WAS
22301023,BOS,CHI,0,4,124,113,BOS
22301024,HOU,UTA,2,2,147,119,HOU
22301026,POR,DEN,4,1,111,114,DEN
22301027,NOP,DET,2,2,114,101,NOP
22301028,PHI,LAC,0,4,121,107,PHI
22301029,CLE,MIA,4,2,84,121,MIA
22301030,MIL,OKC,4,2,118,93,MIL
22301031,MIN,GSW,0,2,114,110,MIN
22301032,LAL,IND,1,3,150,145,LAL
22301034,ATL,BOS,2,2,120,118,ATL
22301035,DET,NYK,1,0,99,124,NYK
22301037,WAS,CHI,0,4,107,105,WAS
